name,idf,imdb_score,genres,release,countries,directors,actors,summary
Murder Mystery 2 2023,https://www.imdb.com/title/tt15255288,,"['اکشن', 'جنایی', 'کمدی', 'اکشن', 'کمدی', 'جنایی']",2023,['آمریکا'],['Jeremy Garelick'],"['adam sandler', 'jennifer aniston', 'mark strong']",نیک و آدری، دو کاراگاه تمام وقت، درحال تلاش هستند تا سازمان کاراگاه خصوصی خود را راه اندازی کنند که به مجلس عروسی دوست شان یعنی «مهاراجه» دعوت می شوند، جایی که مهاراجه را می دزدند و این دو کاراگاه خود را در مرکز یک آدم ربایی بین المللی می یابند
Murder on the Orient Express 2017,https://www.imdb.com/title/tt3402236,,"['جنایی', 'درام', 'رازآلود']",2017,"['آمریکا', 'انگلستان', 'مالت']",['kenneth branagh'],"['kenneth branagh', 'penélope cruz', 'willem dafoe']",داستان حول یک قتل در یک قطار معروف می‌چرخد و کارآگاه بلژیکی، پوآرو باید آن را حل کند. در این بین تعدادی از مسافران هستند که انگیزه‌ی قاتل بودن را دارند و…
Muse 2017,https://www.imdb.com/title/tt5041296,,"['ترسناک', 'علمی تخیلی', 'هیجان انگیز']",2017,"['اسپانیا', 'ایرلند', 'بلژیک', 'فرانسه']",['jaume balagueró'],"['elliot cowan', 'franka potente', 'ana ularu']","""سموئیل سالومون""، استاد ادبیات، تقریبا یک سال پس از مرگ غم انگیز دوستش خسته شده است. ساموئل از یک کابوس تکراری رنج می برد که در آن یک زن..."
Music 2021,https://www.imdb.com/title/tt7541720,,"['درام', 'موزیکال']",2021,['آمریکا'],['Sia'],"['Kate Hudson', 'Leslie Odom Jr.', 'Maddie Ziegler']",زو می‌فهمد که قرار است سرپرست خواهر ناتنی کوچکترش به نام میوزیک شود که دختری جوان اوتیسمی است. فیلم در مورد دو موضوع مورد علاقه سیا است : تشکیل خانواده و کشف صدای خودش.
Music (Musik) 2023,https://www.imdb.com/title/tt15547924,,['درام'],2023,"['آلمان', 'صربستان', 'فرانسه', 'یونان']",['Angela Schanelec'],"['Aliocha Schneider', 'Agathe Bonitzer', 'Marisha Triantafyllidou']",داستان پسر کوچکی به‌نام جان که در یک شب طوفانی در کوه‌های یونان رها شد و به سرپرستی گرفته شد تا اینکه در جوانی...
Mustang 2015,https://www.imdb.com/title/tt3966404,7.6,['درام'],2015,"['آلمان', 'ترکیه', 'فرانسه', 'قطر']",['deniz gamze ergüven'],"['günes sensoy', 'doga zeynep doguslu', 'tugba sunguroglu']",این فیلم در مورد چند دختر در یک دهکده در شمال ترکیه است. که در راه مسیر بازگشت از مدرسه به خانه اتفاق بدی برایشان رخ می دهد. کم کم خانه برای آنها تبدیل به زندان میشود و به جای رفتن به مدرسه معلم خصوصی برای آنها میگیرند و خانواده تصمیم میگیرد که آنها را مجبور به ازدواج اجباری کند…
My Big Fat Greek Wedding 2 2016,https://www.imdb.com/title/tt3760922,,"['عاشقانه', 'کمدی']",2016,"['آمریکا', 'کانادا']",['Kirk Jones'],"['nia vardalos', 'john corbett', 'Michael Constantine']",بعد از دست و پنجه گرم کردن با مشکلات زندگی دختر نوجوانشان حالا تولا و یان با مشکلی بزرگتر مواجه شدند اینبار به یک عروسی یونانی دیکه البته بزرگتر و چاقتر از سری قبل برخوردند.
My Big Fat Greek Wedding 2002,https://www.imdb.com/title/tt0259446,,"['درام', 'عاشقانه', 'کمدی']",2002,"['آمریکا', 'کانادا']",['Joel Zwick'],"['nia vardalos', 'john corbett', 'Michael Constantine']",تولا زن یونانی / امریکایی سی و چند ساله، در رستوران یونانی پدر و مادرش در شیکاگو کار می کند و هنوز مجرد است. تا این که با مرد ظاهرا بی عیب و نقصی به نام «ایان میلر» (کوربت) آشنا می شود که معلم مدرسه است. این دو خیلی زود دل باخته ی یک دیگر می شوند. اما دو مشکل وجود دارد: «ایان» اولا یونانی نیست و ثانیا گیاهخوار است و این هر دو مورد، خانواده ی «تولا» را به وحشت می اندازد.
My Big Fat Greek Wedding 3 2023,https://www.imdb.com/title/tt21103300,,"['درام', 'عاشقانه', 'کمدی']",2023,['آمریکا'],['Nia Vardalos'],"['nia vardalos', 'john corbett', 'louis mandylor']",پس از سفر به یونان برای تجدید دیدار با خانواده، یک زن جوان سعی می‌کند دوستان کودکی پدر مرحومش را پیدا کند.
My Cousin Vinny 1992,https://www.imdb.com/title/tt0104952,7.6,"['جنایی', 'کمدی']",1992,['آمریکا'],['Jonathan Lynn'],"['joe pesci', 'marisa tomei', 'Ralph Macchio']",«بیل» (ماکیو)، پسرک دانشجوی دوست داشتنی اهل شمال، و رفیقش، «استنلی» (ویتفیلد) را در شهرکی دور افتاده در جنوب، به زندان می اندازند و کمی بعد آن دو خبردار می شوند که به جنایتی متهم شده اند. «بیل» که نه پولی در بساط دارد و نه دوست و آشنایی، تصمیم می گیرد با پسر عمویش، «وینی» (پشی) که به تازگی وکیل شده، تماس بگیرد.
